task_id,description,deadline,assigned_user,category,priority,status
T02340,update docs save click able to be should should be to,2025-10-29,user_2,Improvement,Medium,Open
T01261,unit test click able the click to able able load click should to the able,2025-11-13,user_1,Bug,Medium,Open
T02115,null pointer data the load be to be the,2025-11-07,user_5,Bug,High,In Progress
T00808,validation user data user the user load click user the be user,2025-11-10,user_6,Improvement,Low,Closed
T00887,unit test save able save user be should the load to should,2025-11-20,user_8,Bug,Medium,Open
T01583,new capability click data able be user save should,2025-11-10,user_4,Feature,Low,Open
T01615,support integration able data to should user the user the to,2025-11-05,user_2,Feature,Medium,Open
T01838,update docs user save able save save user data click click user,2025-11-12,user_10,Improvement,Low,In Progress
T01874,support integration load to save be save able to save should,2025-11-25,user_1,Feature,Low,Open
T00283,update docs user data data user save data user be to click user data should,2025-11-05,user_1,Feature,Medium,Open
T00211,cleanup code to to load able able click to load save to,2025-11-09,user_3,Improvement,Low,Closed
T00112,validation to able save be load click data click,2025-11-10,user_4,Bug,Medium,In Progress
T01921,update UI click save user user able should save should to save,2025-11-23,user_5,Improvement,Low,Open
T02166,exception load be save be be load be data user,2025-11-07,user_5,Bug,High,Open
T00458,unit test the should save user be should should load data load to should,2025-11-10,user_6,Feature,Low,In Progress
T00820,unit test should save should to click should data be click load should,2025-11-24,user_10,Bug,Low,Closed
T02185,error click able able save save to data able be to click the click should should,2025-10-23,user_3,Bug,High,Open
T01656,enhancement load be data the data be save user data be user able to,2025-11-02,user_8,Feature,Medium,In Progress
T00253,broken link data load save data the able to user click user save,2025-10-30,user_5,Bug,High,Open
T00252,enhancement should the to should data able user,2025-10-29,user_7,Feature,Medium,Closed
T01540,broken link data user data the the load user click able data,2025-11-11,user_10,Bug,Medium,Open
T02130,update docs the load click user should to the able be,2025-11-17,user_6,Feature,Low,In Progress
T01927,update UI able data load be the save able save be user,2025-11-06,user_4,Bug,High,Open
T01019,unit test the user be the the able be should save,2025-11-08,user_5,Improvement,Low,Open
T00423,exception load data able data user able click should save,2025-11-08,user_7,Bug,High,Closed
T01176,enhancement data user save click click the should save click,2025-10-31,user_1,Feature,Medium,In Progress
T00621,update UI save to user to click save should click be user save user able,2025-10-26,user_9,Feature,Medium,Open
T00174,unit test user load user be able save user the to to user,2025-10-25,user_1,Improvement,Medium,In Progress
T00487,exception load load the able user click click able click,2025-11-09,user_9,Bug,Medium,In Progress
T01986,null pointer click able click be to be able to data able click user,2025-10-25,user_9,Bug,High,Open
T01081,support integration click the load user be the user the be the,2025-11-15,user_3,Feature,Low,Open
T01118,unit test data load be to save save be user should be,2025-11-12,user_6,Feature,Low,Open
T01358,validation to be able able user save to save to save,2025-11-17,user_7,Feature,Low,In Progress
T01042,broken link able save be to to be click able data the,2025-11-14,user_5,Bug,Medium,In Progress
T01091,error the click be should able should able user data should the save,2025-11-12,user_2,Bug,Medium,Open
T01356,app crashes user the be to the user to load the data the,2025-11-01,user_3,Bug,High,In Progress
T00212,enhancement be be be be data should user user save the load,2025-11-22,user_6,Feature,Low,In Progress
T00614,validation should to user data load load load should data user,2025-10-28,user_2,Improvement,Medium,In Progress
T02150,validation load load able to data the should be to load to should be,2025-11-17,user_4,Bug,Medium,In Progress
T00465,null pointer click save should click data the data user data should to,2025-11-01,user_8,Bug,High,Closed
T01468,update UI should to should to to able to be user click the,2025-11-11,user_9,Bug,Medium,In Progress
T00555,validation able to load able load be be able,2025-10-30,user_9,Bug,High,In Progress
T00908,update UI the should save the to load be click to data,2025-10-31,user_1,Bug,High,Open
T00994,update UI click should user save load load data save user should the be,2025-10-23,user_1,Feature,High,Open
T01969,cleanup code load click should load data the should user data load,2025-11-10,user_3,Improvement,Low,In Progress
T01789,validation data should data user user the able click,2025-10-25,user_7,Feature,Medium,In Progress
T01599,cleanup code click click data should save data data data be to,2025-10-25,user_4,Improvement,Medium,In Progress
T00097,unit test able user able data be save save data click load load be be data user,2025-11-20,user_9,Bug,Medium,In Progress
T01965,refactor to click should click be able save data click,2025-11-12,user_5,Improvement,Low,Closed
T01365,refactor able click to data to be be user the save,2025-11-01,user_1,Improvement,Medium,In Progress
T01925,null pointer the save be to save data be user save,2025-11-25,user_6,Bug,Low,Open
T00612,broken link the save to to be save the save able should,2025-11-27,user_9,Bug,Low,In Progress
T00446,broken link load the user able load should be,2025-11-06,user_7,Bug,High,Open
T00238,new capability load be the click data load be able click,2025-10-31,user_6,Feature,Medium,Open
T02311,update docs save save be able be the save load should,2025-11-26,user_3,Feature,Low,Open
T00874,update docs be should load user click data be the should the,2025-10-25,user_4,Feature,Medium,Closed
T02498,null pointer to load be data data to user user data save save be save should,2025-11-27,user_8,Bug,Low,Open
T02055,add feature be to be to user should should user,2025-11-11,user_10,Feature,Low,Open
T01674,update docs able data load load data load should to able,2025-11-02,user_1,Bug,High,Open
T02123,validation load should to data the able click able the click,2025-11-10,user_3,Bug,Medium,Open
T00840,unit test able should click the user data click able able,2025-11-05,user_9,Feature,Medium,In Progress
T00582,update docs be user load the be data data save,2025-11-26,user_1,Feature,Low,Open
T01282,support integration load to load click to data be be,2025-11-06,user_5,Feature,Low,Open
T00980,broken link load be load data data save data should,2025-11-19,user_5,Bug,Medium,Open
T00791,update UI save be load to load save load user save,2025-11-03,user_6,Feature,Medium,Open
T00842,exception should the load save click the load data load save click,2025-10-23,user_9,Bug,High,Open
T00483,broken link data click should data user to data save user load,2025-11-22,user_8,Bug,Low,Closed
T01911,error the user the user should be be load user should,2025-11-07,user_6,Bug,High,Open
T00622,exception load the click the data to should data should be user should to should,2025-11-03,user_9,Bug,High,Open
T01503,validation to be the should to should the data data click click data should,2025-11-06,user_5,Bug,High,In Progress
T00333,unit test data data the able data able to load,2025-11-03,user_5,Improvement,Medium,Open
T00479,enhancement load data user click click to be,2025-11-23,user_8,Feature,Low,Open
T01495,unit test load be to be user load data click to user the,2025-11-13,user_1,Feature,Low,Open
T00508,error user load user save the load the able click to,2025-11-02,user_5,Bug,High,Open
T01451,exception load to load save the click be data to data able,2025-11-18,user_5,Bug,Medium,Open
T02424,exception click able be to the able to save user data,2025-11-19,user_7,Bug,Medium,Open
T00644,error data be user the the to user data save to user user,2025-10-31,user_4,Bug,High,Closed
T00481,optimize load to the save click able to to user to data,2025-11-17,user_5,Improvement,Low,In Progress
T01456,broken link save able should be should click data save the load,2025-11-11,user_1,Bug,Medium,Open
T02395,unit test save able able to load user be should be be click,2025-10-25,user_6,Improvement,Medium,Open
T01012,new capability the data to click load should should load the click able,2025-10-23,user_8,Feature,High,In Progress
T00765,update docs user be able load be able able the,2025-11-02,user_8,Bug,High,In Progress
T01290,exception the load the should load the click,2025-11-10,user_9,Bug,Medium,Open
T01224,validation to the to be be to able user click,2025-10-28,user_10,Bug,High,Open
T01334,validation click save data save user save be user load click,2025-11-03,user_1,Bug,High,Open
T00618,null pointer to load save data save save data user the save the save should,2025-11-14,user_2,Bug,Medium,Closed
T00522,update docs click to able the to able data,2025-10-29,user_10,Bug,High,Open
T00583,enhancement user user be load be save data,2025-11-19,user_2,Feature,Low,In Progress
T01059,new capability should to click the user be to the load data click the,2025-11-16,user_8,Feature,Low,Open
T01407,update UI data user be save load the able to click,2025-11-20,user_5,Bug,Medium,Open
T00297,exception load should should be the data save to be the to should,2025-11-20,user_9,Bug,Medium,Closed
T02443,validation user be the click to click to,2025-11-14,user_10,Improvement,Low,Open
T01062,update UI data should data data should the should load should,2025-11-18,user_10,Feature,Low,In Progress
T00858,validation be load able load be able to be able should the to,2025-11-20,user_8,Bug,Medium,Closed
T01693,unit test data click data data to click the be be to,2025-11-03,user_10,Feature,Medium,In Progress
T00408,app crashes should be click data should able click able,2025-11-13,user_1,Bug,Medium,Open
T01079,validation be able save click should should to data the be,2025-10-31,user_7,Feature,Medium,Open
T01084,unit test click to be able to click should to user data the click the,2025-11-18,user_2,Bug,Medium,In Progress
T00169,new capability user data click click click the be to,2025-11-12,user_9,Feature,Low,Open
T02181,validation should to the should the data able,2025-10-29,user_5,Improvement,Medium,Open
T00240,error click to be to the able to save should the,2025-11-04,user_6,Bug,High,Open
T02306,null pointer save save data to the the to user able,2025-11-23,user_3,Bug,Low,In Progress
T01998,validation to should to able able load click save data,2025-10-26,user_8,Feature,Medium,Open
T01902,add feature be save should user be to load,2025-11-10,user_4,Feature,Low,Open
T01051,update docs be be user the click data should data should,2025-11-05,user_10,Bug,High,Open
T01913,new capability user able to click should load should the click should user user load,2025-11-17,user_1,Feature,Low,Open
T01868,update docs save user save be load save able to user data load the load,2025-10-23,user_8,Bug,High,Open
T02096,exception click data save the should data the able be,2025-11-02,user_2,Bug,High,In Progress
T00523,unit test data to click the should user be load load click user the save load save,2025-11-09,user_4,Bug,Medium,In Progress
T01738,validation the the load user data user able click to to,2025-11-26,user_6,Feature,Low,Open
T02473,unit test the user user to data be click able be,2025-11-17,user_4,Bug,Medium,Open
T01848,validation able be the to data click be,2025-10-26,user_7,Improvement,Medium,Open
T02369,error click click load user user data user click should should should user click,2025-10-31,user_10,Bug,High,Closed
T02250,update docs user the user should be the click data to click save,2025-11-03,user_4,Feature,Medium,Open
T01884,validation able load should click data to user data user save the,2025-11-24,user_8,Bug,Low,In Progress
T01512,new capability should the be click to click save user user,2025-11-27,user_7,Feature,Low,Open
T01460,refactor user the should user be user the able able the,2025-11-25,user_10,Improvement,Low,Open
T01939,unit test should user click should to load user data data,2025-11-11,user_4,Bug,Medium,Open
T01724,update UI data able click should data save able be be data load to data user,2025-11-07,user_1,Bug,High,Open
T02026,validation able load the load click data the click,2025-11-14,user_1,Feature,Low,Open
T01608,broken link click should be able save save able able click,2025-11-13,user_5,Bug,Medium,Open
T01978,update docs able able data the the click be to click,2025-11-26,user_10,Bug,Low,In Progress
T00509,update docs data load user save the to able to the,2025-11-05,user_9,Feature,Medium,In Progress
T00633,app crashes data be the load the save click data save be save able,2025-11-21,user_8,Bug,Low,Closed
T00916,validation the able to the should data able should the able should,2025-10-31,user_9,Feature,Medium,Open
T00260,unit test should the click load the the data to the,2025-11-25,user_5,Bug,Low,Open
T01396,update UI save user should load should be the the click the load should should able load,2025-11-24,user_8,Improvement,Low,Open
T02296,unit test user be save able user user the able be the be save,2025-10-31,user_8,Bug,High,In Progress
T02322,update UI be save load should click load load able click data to save the,2025-10-30,user_9,Bug,High,Open
T00803,validation user the be data to data the user save,2025-11-01,user_5,Bug,High,Open
T01936,enhancement the be user the load click save,2025-10-27,user_5,Feature,Medium,In Progress
T01197,update UI load be data the user user should able be able be the,2025-11-22,user_8,Bug,Low,Closed
T01945,validation should data data user click save load to save data,2025-10-24,user_6,Bug,High,In Progress
T00757,app crashes the be click data the should save to be,2025-11-03,user_4,Bug,High,Open
T00802,app crashes load click load to data to should able should,2025-11-04,user_6,Bug,High,Closed
T00234,validation to be load click load able save click,2025-10-25,user_5,Bug,High,Open
T01515,app crashes click load click able user load the able click,2025-11-26,user_2,Bug,Low,In Progress
T00941,app crashes save load be data save user to be,2025-11-01,user_8,Bug,High,In Progress
T00999,add feature save user load the be the be data load data the,2025-10-28,user_5,Feature,Medium,Open
T01103,app crashes click save load click load able the user click able user,2025-11-03,user_5,Bug,High,In Progress
T01464,update UI to should save be click be click,2025-11-04,user_8,Bug,High,Closed
T01877,optimize click data able be click to load,2025-11-06,user_7,Improvement,Low,Open
T01226,validation should to to should click user click,2025-11-24,user_5,Bug,Low,Open
T00325,update docs user data to data click be be user be save able the load,2025-10-30,user_6,Improvement,Medium,Open
T01764,add feature data to to click save be be to data be the,2025-11-10,user_2,Feature,Low,Open
T01954,enhancement click should able able load user click data to data,2025-10-30,user_3,Feature,Medium,Open
T01378,optimize should save be load to click user the,2025-10-24,user_9,Improvement,High,In Progress
T00101,update UI click be to able user click the be,2025-10-29,user_10,Feature,Medium,Open
T02482,refactor the the to user be able able should click click user,2025-11-02,user_7,Improvement,Medium,Open
T01341,update UI to user the should the save able able,2025-11-17,user_5,Bug,Medium,Open
T00388,unit test save to the to click user load save user be,2025-11-05,user_5,Bug,High,Open
T01955,broken link be user should save user click data user,2025-11-01,user_1,Bug,High,In Progress
T00180,null pointer to data save to save user be,2025-11-13,user_6,Bug,Medium,In Progress
T01695,broken link click be should save load be save should load,2025-10-30,user_1,Bug,High,In Progress
T01663,update UI load to to able user user click click should able,2025-11-24,user_8,Feature,Low,In Progress
T01305,unit test user data data data user save to should able user able should,2025-11-05,user_2,Improvement,Medium,Open
T00928,update docs load the able should the click data save load be load click click,2025-11-17,user_5,Bug,Medium,In Progress
T01431,new capability be data the the should save data data able save to be click,2025-11-20,user_5,Feature,Low,Open
T02269,refactor data click data should to the to,2025-11-17,user_10,Improvement,Low,Open
T00142,validation user user should click data the should able to click to save,2025-11-06,user_2,Feature,Low,Closed
T00369,support integration data save load data data should data user able be able,2025-10-24,user_9,Feature,High,In Progress
T02446,app crashes click click should save be load be be,2025-11-26,user_4,Bug,Low,Open
T01086,null pointer user save user click to save the should able user,2025-11-07,user_10,Bug,High,Open
T00368,null pointer the able to user able be save the save data,2025-10-23,user_4,Bug,High,Closed
T01675,validation the data data save be load able,2025-10-26,user_7,Feature,Medium,In Progress
T01045,update UI user be load able be the click load save to able save,2025-11-16,user_4,Feature,Low,Open
T00319,update UI load able save the click click data save,2025-11-05,user_6,Feature,Medium,Open
T01539,update UI user the user user data to load,2025-11-11,user_5,Bug,Medium,Open
T00248,add feature user save be load the click the able click able should able the load,2025-11-21,user_8,Feature,Low,Open
T00322,enhancement save load data click the be save be able click user be able,2025-11-02,user_5,Feature,Medium,In Progress
T01834,broken link save should the user load save save data to be,2025-11-10,user_3,Bug,Medium,Open
T01840,unit test save user save should should the user,2025-10-24,user_2,Feature,High,In Progress
T01000,broken link user user save user save load the user click,2025-11-14,user_10,Bug,Medium,Closed
T00943,enhancement load able save the save the user save click the,2025-10-30,user_4,Feature,Medium,Open
T01773,unit test click click the click load to be able,2025-11-05,user_10,Feature,Medium,In Progress
T00030,update UI click save should should load able load save click data to,2025-10-28,user_5,Bug,High,In Progress
T01300,unit test the click be user to save should able should able load be,2025-11-02,user_8,Bug,High,Open
T01994,validation save should the user user load the click click the data save able,2025-10-24,user_9,Bug,High,Open
T01915,validation to able user be user able click be user the load the save click to,2025-11-16,user_1,Bug,Medium,Open
T00696,broken link load save click load click save load data click able click,2025-11-24,user_8,Bug,Low,Open
T02471,null pointer should user should data to should click load should should to,2025-10-29,user_5,Bug,High,Closed
T02029,unit test click click save load be the save to save data the,2025-11-04,user_4,Bug,High,Open
T01601,unit test save user should should data data able to,2025-11-20,user_4,Feature,Low,Open
T02330,update docs to data data save save save save data the click,2025-11-19,user_10,Feature,Low,Open
T01232,error the load be should user load click user to be save save,2025-10-24,user_6,Bug,High,Open
T02174,validation to data data the click load data should be,2025-11-10,user_3,Bug,Medium,Open
T01916,cleanup code able to able able able be able be data be data the,2025-11-19,user_9,Improvement,Low,In Progress
T01730,broken link should click save save be load user to to,2025-11-25,user_6,Bug,Low,In Progress
T01707,cleanup code data user be user the to be able user be,2025-11-14,user_3,Improvement,Low,In Progress
T01704,error data save the should to the user save to data the,2025-10-23,user_2,Bug,High,In Progress
T00756,validation click user the able load click the the to save click the user,2025-10-31,user_7,Feature,Medium,In Progress
T01331,update docs should the data data data able save user,2025-10-29,user_1,Bug,High,Open
T00354,error able the to data load be able data should click be,2025-11-12,user_9,Bug,Medium,Open
T00209,error able load to able data save data,2025-11-08,user_3,Bug,High,Open
T02145,unit test user click load be the user save able data the the be,2025-11-26,user_10,Improvement,Low,In Progress
T00904,null pointer be data click data data save user data to,2025-11-16,user_4,Bug,Medium,Open
T00953,validation save able click user save click data click user be,2025-11-17,user_3,Bug,Medium,Open
T01338,update UI load save click should be data should be,2025-11-22,user_1,Feature,Low,Closed
T01552,improve performance the save click save click save save load user,2025-11-03,user_4,Improvement,Medium,In Progress
T01568,enhancement save click load load data the data the click the be,2025-11-22,user_2,Feature,Low,Open
T01944,exception user user save click load save save save click click the data,2025-10-30,user_10,Bug,High,Open
T00486,enhancement click user click able user save user the should the load to,2025-10-30,user_9,Feature,Medium,Open
T01630,error to to save able the save should should be to save,2025-10-28,user_8,Bug,High,Open
T02040,validation to load able load data the load load should to save should be save,2025-11-19,user_3,Improvement,Low,In Progress
T00200,validation save the should should user able should should data user be to user save,2025-11-05,user_10,Improvement,Medium,Open
T00230,validation the load should data data to user load be save load,2025-11-10,user_6,Improvement,Low,Open
T00811,validation able data user user save save save able,2025-10-24,user_5,Bug,High,Open
T00788,app crashes the able be be be user to user the to the be click should user,2025-11-11,user_5,Bug,Medium,In Progress
T00411,validation save data click data user click user click data should data load,2025-10-31,user_8,Improvement,Medium,In Progress
T00630,refactor save should the save user the should user click to should data the load be be to,2025-10-23,user_3,Improvement,High,Open
T01511,exception data able the save user save load to should save load,2025-11-16,user_7,Bug,Medium,Open
T00663,update docs save click to click should save data be,2025-10-29,user_1,Bug,High,In Progress
T02143,app crashes be be user click to click able user data user,2025-10-29,user_5,Bug,High,In Progress
T01919,update docs the click save data load the load be,2025-10-30,user_3,Bug,High,Closed
T02335,new capability be able should user save save user save save data be,2025-11-24,user_8,Feature,Low,In Progress
T01270,null pointer click able able data click data be user user should,2025-11-06,user_6,Bug,High,Open
T00070,unit test click be to click click to click to the user to should,2025-10-25,user_5,Bug,High,Closed
T00444,cleanup code should click save click load the user click,2025-10-30,user_1,Improvement,Medium,In Progress
T02148,unit test should click save should should be save the user click should,2025-11-05,user_10,Improvement,Medium,Open
T02242,null pointer able save should the click user be be the be,2025-11-14,user_7,Bug,Medium,In Progress
T01585,update docs click should be save the save to the,2025-11-14,user_7,Bug,Medium,Open
T00232,unit test the load click the able the user user load,2025-10-29,user_4,Improvement,Medium,Open
T00441,exception should the be load the to data to,2025-11-27,user_5,Bug,Low,In Progress
T01628,broken link load save should able user load load be user data data the,2025-10-31,user_1,Bug,High,Open
T01323,cleanup code the able data data save the able to user data the,2025-11-27,user_2,Improvement,Low,In Progress
T01279,error click the save save be data able load should save able,2025-10-23,user_4,Bug,High,Open
T00818,unit test the the to user user data user click,2025-11-23,user_9,Improvement,Low,In Progress
T00600,improve performance user should save able to data the the the the should the click data load,2025-11-02,user_2,Improvement,Medium,Open
T01057,app crashes data user data user save click the the should,2025-11-07,user_10,Bug,High,Open
T00415,new capability be save data should the to load user data be able click,2025-11-13,user_3,Feature,Low,In Progress
T00680,update UI be save save user click load user should should user load,2025-11-02,user_4,Bug,High,In Progress
T01519,validation user click should load click be data should click data click the,2025-11-17,user_6,Bug,Medium,Open
T01117,optimize the data be should load click data be load click able save,2025-11-07,user_6,Improvement,Low,Open
T00280,validation able the user load user able be load,2025-11-16,user_4,Feature,Low,Open
T01386,validation save be be should user load click data to should the the should,2025-10-26,user_1,Feature,Medium,Open
T00409,support integration the the data the be the data able save to click to to,2025-11-07,user_6,Feature,Low,In Progress
T01092,update docs click save click data user load user,2025-10-23,user_7,Bug,High,In Progress
